Ave,Codigo,Especie
365,4,Ganso
366,2,Frango
367,2,Frango
368,4,Ganso
369,1,Pato
370,3,Peru
371,2,Frango
372,5,Marreco
373,1,Pato
374,1,Pato
375,4,Ganso
376,2,Frango
377,4,Ganso
378,4,Ganso
379,3,Peru
380,5,Marreco
381,1,Pato
382,5,Marreco
383,5,Marreco
384,1,Pato
385,4,Ganso
386,4,Ganso
387,1,Pato
388,5,Marreco
389,4,Ganso
390,5,Marreco
391,2,Frango
392,3,Peru
393,4,Ganso
394,2,Frango
395,5,Marreco
396,4,Ganso
397,1,Pato
398,1,Pato
399,1,Pato
400,3,Peru
401,1,Pato
402,5,Marreco
403,4,Ganso
404,5,Marreco
405,3,Peru
406,3,Peru
407,5,Marreco
408,5,Marreco
409,3,Peru
410,4,Ganso
411,3,Peru
412,2,Frango
413,2,Frango
414,5,Marreco
415,5,Marreco
416,1,Pato
417,5,Marreco
418,5,Marreco
419,2,Frango
420,3,Peru
421,3,Peru
422,2,Frango
423,1,Pato
424,1,Pato
425,3,Peru
426,1,Pato
427,5,Marreco
428,3,Peru
429,5,Marreco
430,5,Marreco
431,2,Frango
432,2,Frango
433,3,Peru
434,3,Peru
435,4,Ganso
436,1,Pato
437,1,Pato
438,1,Pato
439,4,Ganso
440,4,Ganso
441,4,Ganso
442,2,Frango
443,3,Peru
444,1,Pato
445,4,Ganso
446,1,Pato
447,2,Frango
448,4,Ganso
449,1,Pato
450,3,Peru
451,3,Peru
452,4,Ganso
453,2,Frango
454,4,Ganso
455,1,Pato
456,5,Marreco
457,1,Pato
458,1,Pato
459,5,Marreco
460,4,Ganso
461,3,Peru
462,5,Marreco
463,2,Frango
464,5,Marreco
465,2,Frango
466,1,Pato
467,2,Frango
468,3,Peru
469,4,Ganso
470,4,Ganso
471,3,Peru
472,3,Peru
473,5,Marreco
474,3,Peru
475,1,Pato
476,4,Ganso
477,4,Ganso
478,2,Frango
479,5,Marreco
480,3,Peru
481,2,Frango
482,3,Peru
483,5,Marreco
484,2,Frango
485,5,Marreco
486,4,Ganso
487,4,Ganso
488,4,Ganso
489,2,Frango
490,1,Pato
491,4,Ganso
492,3,Peru
493,5,Marreco
494,4,Ganso
495,2,Frango
496,5,Marreco
497,5,Marreco
498,3,Peru
499,2,Frango
500,1,Pato
501,1,Pato
502,3,Peru
503,1,Pato
504,1,Pato
505,3,Peru
506,3,Peru
507,3,Peru
508,1,Pato
509,3,Peru
510,5,Marreco
511,2,Frango
512,5,Marreco
513,1,Pato
514,2,Frango
515,2,Frango
516,2,Frango
517,3,Peru
518,3,Peru
519,1,Pato
520,2,Frango
521,1,Pato
522,5,Marreco
523,1,Pato
524,5,Marreco
525,2,Frango
526,2,Frango
527,1,Pato
528,3,Peru
529,5,Marreco
530,3,Peru
531,3,Peru
532,3,Peru
533,1,Pato
534,4,Ganso
535,3,Peru
536,3,Peru
537,1,Pato
538,2,Frango
539,1,Pato
540,3,Peru
541,3,Peru
542,3,Peru
543,1,Pato
544,3,Peru
545,1,Pato
546,3,Peru
547,3,Peru
548,2,Frango
549,5,Marreco
550,2,Frango
551,1,Pato
552,4,Ganso
553,1,Pato
554,5,Marreco
555,5,Marreco
556,1,Pato
557,2,Frango
558,3,Peru
559,3,Peru
560,5,Marreco
561,1,Pato
562,3,Peru
563,5,Marreco
564,5,Marreco
565,2,Frango
566,2,Frango
567,5,Marreco
568,1,Pato
569,4,Ganso
570,4,Ganso
571,2,Frango
572,5,Marreco
573,1,Pato
574,2,Frango
575,1,Pato
576,3,Peru
577,4,Ganso
578,2,Frango
579,1,Pato
580,3,Peru
581,4,Ganso
582,5,Marreco
583,5,Marreco
584,2,Frango
585,4,Ganso
586,1,Pato
587,5,Marreco
588,3,Peru
589,2,Frango
590,3,Peru
591,3,Peru
592,5,Marreco
593,2,Frango
594,2,Frango
595,4,Ganso
596,1,Pato
597,2,Frango
598,4,Ganso
599,3,Peru
600,1,Pato
601,2,Frango
602,3,Peru
603,2,Frango
604,1,Pato
605,4,Ganso
606,4,Ganso
607,4,Ganso
608,5,Marreco
609,1,Pato
610,4,Ganso
611,1,Pato
612,2,Frango
613,5,Marreco
614,5,Marreco
615,1,Pato
616,4,Ganso
617,2,Frango
618,5,Marreco
619,2,Frango
620,1,Pato
621,4,Ganso
622,1,Pato
623,2,Frango
624,3,Peru
625,4,Ganso
626,2,Frango
627,4,Ganso
628,4,Ganso
629,3,Peru
630,2,Frango
631,1,Pato
632,5,Marreco
633,4,Ganso
634,4,Ganso
635,5,Marreco
636,4,Ganso
637,4,Ganso
638,4,Ganso
639,5,Marreco
640,1,Pato
641,3,Peru
642,4,Ganso
643,3,Peru
644,1,Pato
645,4,Ganso
646,2,Frango
647,2,Frango
648,4,Ganso
649,1,Pato
650,2,Frango
651,3,Peru
652,1,Pato
653,5,Marreco
654,2,Frango
655,3,Peru
656,3,Peru
657,4,Ganso
658,3,Peru
659,1,Pato
660,2,Frango
661,4,Ganso
662,2,Frango
663,4,Ganso
664,1,Pato
665,5,Marreco
666,4,Ganso
667,4,Ganso
668,5,Marreco
669,1,Pato
670,2,Frango
671,2,Frango
672,3,Peru
673,5,Marreco
674,4,Ganso
675,5,Marreco
676,2,Frango
677,2,Frango
678,2,Frango
679,2,Frango
680,3,Peru
681,5,Marreco
682,3,Peru
683,2,Frango
684,4,Ganso
685,4,Ganso
686,3,Peru
687,4,Ganso
688,2,Frango
689,2,Frango
690,2,Frango
691,5,Marreco
692,1,Pato
693,1,Pato
694,2,Frango
695,3,Peru
696,5,Marreco
697,1,Pato
698,5,Marreco
699,1,Pato
700,2,Frango
701,3,Peru
702,5,Marreco
703,2,Frango
704,5,Marreco
705,4,Ganso
706,5,Marreco
707,4,Ganso
708,1,Pato
709,2,Frango
710,5,Marreco
711,5,Marreco
712,1,Pato
713,4,Ganso
714,5,Marreco
715,4,Ganso
716,2,Frango
717,1,Pato
718,3,Peru
719,2,Frango
720,2,Frango
721,2,Frango
722,5,Marreco
723,4,Ganso
724,5,Marreco
725,3,Peru
726,4,Ganso
727,3,Peru
728,4,Ganso
729,3,Peru
730,3,Peru
731,5,Marreco
732,2,Frango
733,5,Marreco
734,2,Frango
735,2,Frango
736,4,Ganso
737,1,Pato
738,3,Peru
739,5,Marreco
740,4,Ganso
741,3,Peru
742,1,Pato
743,2,Frango
744,1,Pato
745,1,Pato
746,5,Marreco
747,3,Peru
748,5,Marreco
749,4,Ganso
750,2,Frango
751,2,Frango
752,1,Pato
753,1,Pato
754,4,Ganso
755,1,Pato
756,5,Marreco
757,4,Ganso
758,5,Marreco
759,3,Peru
760,4,Ganso
761,4,Ganso
762,1,Pato
763,2,Frango
764,4,Ganso
765,3,Peru
766,1,Pato
767,5,Marreco
768,2,Frango
769,1,Pato
770,5,Marreco
771,1,Pato
772,4,Ganso
773,3,Peru
774,2,Frango
775,4,Ganso
776,1,Pato
777,3,Peru
778,1,Pato
779,5,Marreco
780,4,Ganso
781,1,Pato
782,1,Pato
783,4,Ganso
784,1,Pato
785,5,Marreco
786,1,Pato
787,5,Marreco
788,4,Ganso
789,3,Peru
790,4,Ganso
791,1,Pato
792,3,Peru
793,2,Frango
794,2,Frango
795,5,Marreco
796,5,Marreco
797,5,Marreco
798,1,Pato
799,4,Ganso
800,5,Marreco
801,5,Marreco
802,3,Peru
803,3,Peru
804,3,Peru
805,4,Ganso
806,4,Ganso
807,2,Frango
808,1,Pato
809,3,Peru
810,4,Ganso
811,3,Peru
812,2,Frango
813,2,Frango
814,3,Peru
815,1,Pato
816,2,Frango
817,4,Ganso
818,3,Peru
819,1,Pato
820,3,Peru
821,4,Ganso
822,3,Peru
823,5,Marreco
824,2,Frango
825,2,Frango
826,5,Marreco
827,4,Ganso
828,1,Pato
829,3,Peru
830,3,Peru
831,2,Frango
832,3,Peru
833,2,Frango
834,5,Marreco
835,2,Frango
836,3,Peru
837,3,Peru
838,1,Pato
839,1,Pato
840,3,Peru
841,5,Marreco
842,1,Pato
843,1,Pato
844,1,Pato
845,4,Ganso
846,1,Pato
847,3,Peru
848,1,Pato
849,2,Frango
850,3,Peru
851,3,Peru
852,4,Ganso
853,5,Marreco
854,3,Peru
855,1,Pato
856,1,Pato
857,4,Ganso
858,3,Peru
859,1,Pato
860,5,Marreco
861,1,Pato
862,1,Pato
863,2,Frango
864,2,Frango
865,3,Peru
866,5,Marreco
867,4,Ganso
868,4,Ganso
869,4,Ganso
870,5,Marreco
871,4,Ganso
872,5,Marreco
873,3,Peru
874,1,Pato
875,2,Frango
876,1,Pato
877,3,Peru
878,1,Pato
879,4,Ganso
880,2,Frango
881,4,Ganso
882,4,Ganso
883,5,Marreco
884,3,Peru
885,1,Pato
886,2,Frango
887,3,Peru
888,5,Marreco
889,3,Peru
890,5,Marreco
891,3,Peru
892,3,Peru
893,1,Pato
894,4,Ganso
895,1,Pato
896,1,Pato
897,3,Peru
898,2,Frango
899,2,Frango
900,1,Pato
901,2,Frango
902,5,Marreco
903,3,Peru
904,1,Pato
905,1,Pato
906,5,Marreco
907,4,Ganso
908,2,Frango
909,1,Pato
910,5,Marreco
911,3,Peru
912,1,Pato
913,1,Pato
914,1,Pato
915,5,Marreco
916,5,Marreco
917,4,Ganso
918,5,Marreco
919,2,Frango
920,2,Frango
921,1,Pato
922,5,Marreco
923,4,Ganso
924,2,Frango
925,3,Peru
926,3,Peru
927,4,Ganso
928,2,Frango
929,3,Peru
930,4,Ganso
931,4,Ganso
932,4,Ganso
933,3,Peru
934,2,Frango
935,5,Marreco
936,1,Pato
937,1,Pato
938,4,Ganso
939,3,Peru
940,1,Pato
941,5,Marreco
942,5,Marreco
943,4,Ganso
944,2,Frango
945,4,Ganso
946,3,Peru
947,3,Peru
948,2,Frango
949,5,Marreco
950,3,Peru
951,2,Frango
952,2,Frango
953,3,Peru
954,1,Pato
955,1,Pato
956,1,Pato
957,5,Marreco
958,2,Frango
959,3,Peru
960,3,Peru
961,2,Frango
962,1,Pato
963,1,Pato
964,2,Frango
965,3,Peru
966,2,Frango
967,3,Peru
968,4,Ganso
969,5,Marreco
970,4,Ganso
971,2,Frango
972,3,Peru
973,3,Peru
974,5,Marreco
975,2,Frango
976,1,Pato
977,5,Marreco
978,2,Frango
979,5,Marreco
980,2,Frango
981,1,Pato
982,3,Peru
983,1,Pato
984,2,Frango
985,4,Ganso
986,3,Peru
987,4,Ganso
988,3,Peru
989,1,Pato
990,3,Peru
991,4,Ganso
992,5,Marreco
993,2,Frango
994,1,Pato
995,4,Ganso
996,1,Pato
997,2,Frango
998,4,Ganso
999,2,Frango
1000,1,Pato
1001,4,Ganso
1002,3,Peru
1003,1,Pato
1004,1,Pato
1005,5,Marreco
1006,3,Peru
1007,1,Pato
1008,1,Pato
1009,2,Frango
1010,1,Pato
1011,3,Peru
1012,4,Ganso
1013,1,Pato
1014,2,Frango
1015,1,Pato
1016,4,Ganso
1017,1,Pato
1018,3,Peru
1019,2,Frango
1020,2,Frango
1021,1,Pato
1022,1,Pato
1023,2,Frango
1024,4,Ganso
1025,2,Frango
1026,1,Pato
1027,5,Marreco
1028,3,Peru
1029,3,Peru
1030,2,Frango
1031,4,Ganso
1032,2,Frango
1033,2,Frango
1034,5,Marreco
1035,1,Pato
1036,2,Frango
1037,2,Frango
1038,2,Frango
1039,4,Ganso
1040,1,Pato
1041,1,Pato
1042,4,Ganso
1043,2,Frango
1044,5,Marreco
1045,4,Ganso
1046,2,Frango
1047,3,Peru
1048,3,Peru
1049,1,Pato
1050,3,Peru
1051,3,Peru
1052,5,Marreco
1053,4,Ganso
1054,1,Pato
1055,2,Frango
1056,1,Pato
1057,1,Pato
1058,3,Peru
1059,1,Pato
1060,1,Pato
1061,3,Peru
1062,3,Peru
1063,2,Frango
1064,4,Ganso
1065,4,Ganso
1066,5,Marreco
1067,3,Peru
1068,4,Ganso
1069,5,Marreco
1070,3,Peru
1071,2,Frango
1072,1,Pato
1073,2,Frango
1074,1,Pato
1075,2,Frango
1076,3,Peru
1077,2,Frango
1078,3,Peru
1079,5,Marreco
1080,2,Frango
1081,2,Frango
1082,5,Marreco
1083,3,Peru
1084,2,Frango
1085,3,Peru
1086,5,Marreco
1087,1,Pato
1088,3,Peru
1089,1,Pato
1090,2,Frango
1091,4,Ganso
1092,5,Marreco
1093,3,Peru
1094,3,Peru
1095,3,Peru
1096,2,Frango
1097,2,Frango
1098,3,Peru
1099,2,Frango
1100,1,Pato
1101,1,Pato
1102,3,Peru
1103,4,Ganso
1104,1,Pato
1105,2,Frango
1106,2,Frango
1107,1,Pato
1108,2,Frango
1109,2,Frango
1110,2,Frango
1111,2,Frango
1112,5,Marreco
1113,1,Pato
1114,5,Marreco
1115,2,Frango
1116,3,Peru
1117,3,Peru
1118,3,Peru
1119,1,Pato
1120,4,Ganso
1121,4,Ganso
1122,1,Pato
1123,3,Peru
1124,3,Peru
1125,1,Pato
1126,4,Ganso
1127,3,Peru
1128,1,Pato
1129,1,Pato
1130,5,Marreco
1131,5,Marreco
1132,3,Peru
1133,1,Pato
1134,4,Ganso
1135,2,Frango
1136,3,Peru
1137,2,Frango
1138,3,Peru
1139,1,Pato
1140,3,Peru
1141,5,Marreco
1142,2,Frango
1143,2,Frango
1144,2,Frango
1145,1,Pato
1146,2,Frango
1147,1,Pato
1148,2,Frango
1149,4,Ganso
1150,4,Ganso
1151,1,Pato
1152,4,Ganso
1153,5,Marreco
1154,3,Peru
1155,5,Marreco
1156,1,Pato
1157,5,Marreco
1158,1,Pato
1159,5,Marreco
1160,3,Peru
1161,1,Pato
1162,1,Pato
1163,4,Ganso
1164,5,Marreco
1165,3,Peru
1166,4,Ganso
1167,1,Pato
1168,3,Peru
1169,5,Marreco
1170,3,Peru
1171,1,Pato
1172,2,Frango
1173,1,Pato
1174,5,Marreco
1175,3,Peru
1176,4,Ganso
1177,3,Peru
1178,2,Frango
1179,2,Frango
1180,1,Pato
1181,1,Pato
1182,1,Pato
1183,1,Pato
1184,1,Pato
1185,3,Peru
1186,3,Peru
1187,1,Pato
1188,5,Marreco
1189,2,Frango
1190,4,Ganso
1191,2,Frango
1192,1,Pato
1193,4,Ganso
1194,5,Marreco
1195,3,Peru
1196,5,Marreco
1197,3,Peru
1198,2,Frango
1199,3,Peru
1200,4,Ganso
1201,5,Marreco
1202,4,Ganso
1203,1,Pato
1204,5,Marreco
1205,5,Marreco
1206,2,Frango
1207,5,Marreco
1208,2,Frango
1209,5,Marreco
1210,2,Frango
1211,2,Frango
1212,4,Ganso
1213,2,Frango
1214,3,Peru
1215,5,Marreco
1216,5,Marreco
1217,3,Peru
1218,2,Frango
1219,4,Ganso
1220,3,Peru
1221,3,Peru
1222,1,Pato
1223,3,Peru
1224,4,Ganso
1225,4,Ganso
1226,4,Ganso
1227,5,Marreco
1228,4,Ganso
1229,3,Peru
1230,2,Frango
1231,2,Frango
1232,3,Peru
1233,4,Ganso
1234,1,Pato
1235,2,Frango
1236,4,Ganso
1237,5,Marreco
1238,2,Frango
1239,4,Ganso
1240,4,Ganso
1241,2,Frango
1242,2,Frango
1243,1,Pato
1244,1,Pato
1245,3,Peru
1246,2,Frango
1247,3,Peru
1248,5,Marreco
1249,4,Ganso
1250,4,Ganso
1251,2,Frango
1252,5,Marreco
1253,3,Peru
1254,1,Pato
1255,4,Ganso
1256,2,Frango
1257,4,Ganso
1258,5,Marreco
1259,1,Pato
1260,5,Marreco
1261,4,Ganso
1262,1,Pato
1263,4,Ganso
1264,3,Peru
1265,4,Ganso
1266,2,Frango
1267,2,Frango
1268,1,Pato
1269,5,Marreco
1270,1,Pato
1271,1,Pato
1272,4,Ganso
1273,3,Peru
1274,2,Frango
1275,5,Marreco
1276,5,Marreco
1277,5,Marreco
1278,5,Marreco
1279,1,Pato
1280,3,Peru
1281,5,Marreco
1282,4,Ganso
1283,2,Frango
1284,5,Marreco
1285,5,Marreco
1286,5,Marreco
1287,5,Marreco
1288,5,Marreco
1289,1,Pato
1290,1,Pato
1291,1,Pato
1292,4,Ganso
1293,1,Pato
1294,2,Frango
1295,3,Peru
1296,1,Pato
1297,1,Pato
1298,5,Marreco
1299,3,Peru
1300,1,Pato
1301,1,Pato
1302,3,Peru
1303,5,Marreco
1304,3,Peru
1305,2,Frango
1306,5,Marreco
1307,2,Frango
1308,4,Ganso
1309,2,Frango
1310,5,Marreco
1311,4,Ganso
1312,3,Peru
1313,5,Marreco
1314,3,Peru
1315,3,Peru
1316,4,Ganso
1317,1,Pato
1318,1,Pato
1319,4,Ganso
1320,3,Peru
1321,3,Peru
1322,2,Frango
1323,2,Frango
1324,3,Peru
1325,3,Peru
1326,1,Pato
1327,1,Pato
1328,1,Pato
1329,2,Frango
1330,5,Marreco
1331,5,Marreco
1332,3,Peru
1333,3,Peru
1334,5,Marreco
1335,5,Marreco
1336,1,Pato
1337,1,Pato
1338,2,Frango
1339,1,Pato
1340,4,Ganso
1341,3,Peru
1342,1,Pato
1343,3,Peru
1344,2,Frango
1345,3,Peru
1346,5,Marreco
1347,1,Pato
1348,4,Ganso
1349,5,Marreco
1350,2,Frango
1351,5,Marreco
1352,3,Peru
1353,3,Peru
1354,4,Ganso
1355,5,Marreco
1356,5,Marreco
1357,5,Marreco
1358,4,Ganso
1359,2,Frango
1360,1,Pato
1361,2,Frango
1362,5,Marreco
1363,1,Pato
1364,3,Peru
1365,3,Peru
1366,5,Marreco
1367,2,Frango
1368,4,Ganso
1369,4,Ganso
1370,2,Frango
1371,5,Marreco
1372,4,Ganso
1373,2,Frango
1374,3,Peru
1375,5,Marreco
1376,2,Frango
1377,3,Peru
1378,3,Peru
1379,1,Pato
1380,2,Frango
1381,1,Pato
1382,1,Pato
1383,3,Peru
1384,3,Peru
1385,1,Pato
1386,5,Marreco
1387,1,Pato
1388,2,Frango
1389,4,Ganso
1390,5,Marreco
1391,3,Peru
1392,1,Pato
1393,5,Marreco
1394,1,Pato
1395,1,Pato
1396,1,Pato
1397,4,Ganso
1398,2,Frango
1399,4,Ganso
1400,4,Ganso
1401,5,Marreco
1402,3,Peru
1403,5,Marreco
1404,5,Marreco
1405,3,Peru
1406,4,Ganso
1407,4,Ganso
1408,1,Pato
1409,3,Peru
1410,1,Pato
1411,1,Pato
1412,4,Ganso
1413,2,Frango
1414,5,Marreco
1415,4,Ganso
1416,3,Peru
1417,1,Pato
1418,4,Ganso
1419,2,Frango
1420,3,Peru
1421,2,Frango
1422,5,Marreco
1423,4,Ganso
1424,4,Ganso
1425,3,Peru
1426,4,Ganso
1427,3,Peru
1428,5,Marreco
1429,5,Marreco
1430,4,Ganso
1431,2,Frango
1432,2,Frango
1433,1,Pato
1434,1,Pato
1435,5,Marreco
1436,4,Ganso
1437,4,Ganso
1438,2,Frango
1439,3,Peru
1440,5,Marreco
1441,4,Ganso
1442,2,Frango
1443,4,Ganso
1444,2,Frango
1445,3,Peru
1446,3,Peru
1447,3,Peru
1448,3,Peru
1449,2,Frango
1450,3,Peru
1451,1,Pato
1452,1,Pato
1453,2,Frango
1454,4,Ganso
1455,3,Peru
1456,2,Frango
1457,2,Frango
1458,2,Frango
1459,4,Ganso
1460,5,Marreco
1461,4,Ganso
1462,3,Peru
1463,3,Peru
1464,1,Pato
1465,3,Peru
1466,5,Marreco
1467,1,Pato
1468,5,Marreco
1469,3,Peru
1470,4,Ganso
1471,5,Marreco
1472,1,Pato
1473,2,Frango
1474,1,Pato
1475,3,Peru
1476,3,Peru
1477,4,Ganso
1478,4,Ganso
1479,4,Ganso
1480,4,Ganso
1481,2,Frango
1482,2,Frango
1483,2,Frango
1484,1,Pato
1485,5,Marreco
1486,2,Frango
1487,1,Pato
1488,3,Peru
1489,3,Peru
1490,5,Marreco
1491,1,Pato
1492,5,Marreco
1493,5,Marreco
1494,4,Ganso
1495,1,Pato
1496,1,Pato
1497,2,Frango
1498,2,Frango
1499,4,Ganso
1500,1,Pato
1501,2,Frango
1502,3,Peru
1503,5,Marreco
1504,3,Peru
1505,1,Pato
1506,5,Marreco
1507,5,Marreco
1508,3,Peru
1509,2,Frango
1510,2,Frango
1511,2,Frango
1512,2,Frango
1513,1,Pato
1514,3,Peru
1515,2,Frango
1516,2,Frango
1517,1,Pato
1518,1,Pato
1519,1,Pato
1520,5,Marreco
1521,1,Pato
1522,4,Ganso
1523,5,Marreco
1524,4,Ganso
1525,1,Pato
1526,1,Pato
1527,3,Peru
1528,3,Peru
1529,1,Pato
1530,1,Pato
1531,3,Peru
1532,5,Marreco
1533,4,Ganso
1534,1,Pato
1535,5,Marreco
1536,4,Ganso
1537,5,Marreco
1538,3,Peru
1539,1,Pato
1540,4,Ganso
1541,2,Frango
1542,1,Pato
1543,1,Pato
1544,3,Peru
1545,1,Pato
1546,2,Frango
1547,4,Ganso
1548,4,Ganso
1549,2,Frango
1550,1,Pato
1551,5,Marreco
1552,5,Marreco
1553,4,Ganso
1554,1,Pato
1555,5,Marreco
1556,2,Frango
1557,1,Pato
1558,2,Frango
1559,3,Peru
1560,3,Peru
1561,5,Marreco
1562,1,Pato
1563,5,Marreco
1564,3,Peru
1565,1,Pato
1566,2,Frango
1567,3,Peru
1568,3,Peru
1569,3,Peru
1570,1,Pato
1571,3,Peru
1572,3,Peru
1573,5,Marreco
1574,3,Peru
1575,5,Marreco
1576,1,Pato
1577,3,Peru
1578,5,Marreco
1579,4,Ganso
1580,4,Ganso
1581,4,Ganso
1582,1,Pato
1583,5,Marreco
1584,5,Marreco
1585,4,Ganso
1586,2,Frango
1587,1,Pato
1588,3,Peru
1589,1,Pato
1590,1,Pato
1591,2,Frango
1592,3,Peru
1593,4,Ganso
1594,5,Marreco
1595,3,Peru
1596,5,Marreco
1597,5,Marreco
1598,5,Marreco
